StudentId,FName,LName,DOB,DepartmentId,Gender
7,TSeganesh,Jennifer,1976-01-01 00:00:00,3,F
8,Tsegaw,Isabella,1977-01-01 00:00:00,3,M
9,Yabsera,Ila,1978-01-01 00:00:00,3,F
23,Pamela,Driscoll,1992-01-01 00:00:00,3,F
37,Sigourney,Jessamine,2006-01-01 00:00:00,3,F
38,Sara,Carson,2007-01-01 00:00:00,3,M
39,Nyssa,Oliver,2008-01-01 00:00:00,3,F
53,Quon,Rana,1980-01-01 00:00:00,3,F
67,Dale,Fiona,1994-01-01 00:00:00,3,F
68,Kessie,Connor,1995-01-01 00:00:00,3,M
69,Talon,Odysseus,1996-01-01 00:00:00,3,F
83,Colby,Norman,2010-01-01 00:00:00,3,F
